Title,Author (comma seperated),Publish Date,ISBN,Tags (comma separated),height total (inches)
The Executive's Guide to Information Technology,"John Baschab, Jon Piot",2003,9780471266099,,
Enriching the Value Chain: Infrastructure Strategies Beyond the Enterprises,"Bruce Robertso, Valentin Sribar",2002,9780201767308,"organize e-business, e-business infrastructure, patterns, planning models",
The Thoth System: Multi-Process Structuring and Portability,David R. Cheriton,1982,9780444007018,"multi-process structuring, kernel design, system portability, synchronization",
Pattern Languages of Program Design,"James O. Coplie, Douglas C. Schmidt",1995,9780201607345,"design patterns, software architecture, hypermedia, object-oriented programming",
Operating System Concepts,"James L. Peterson, Abraham Silberschatz",1983,9780201060973,"internal algorithms, structures, device drivers, multics, cpu scheduling",
"Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions","Gregor Hohpe, Bobby Woolf",2004,9780321200686,"message broker, web services, pattern language, integration patterns, JMS, MSMQ, BizTalk, SOAP, XSL",
"The Limits of Software: People, Projects, and Perspectives",Robert N. Britcher,1999,9780201433234,"theories of programming, process of design, FAA Anvanced Automation System, history, evolution of development",
Patterns of Enterprise Application Architecture,Martin Fowler,2003,9780321127426,"model-view-controller, design patterns, domain logic, data transfer",
Computing Tomorrow: Future research directions in computer science,"Ian Wanz, Robin Milner",1996,9780521460859,"abstract data types, domain theory, mertens conjucture, functional programming, mathematics, safety-critical systems",
Dare To Be Excellent,"Alka Jarvin, Linda Hayes",1999,9780130811561,"high-quality software, project planning, software requirements, release planning, software inspections, managing client/vendor relationships",
"Compilers: Principles, Techniques, and Tools","Alfred V. Aho, Ravi Sethi, Jeffery D. Ullman",1986,9780201100884,"compiler design, syntax analysis, type checking, code generation, code optimization, run-time organization, syntax-directed translation",
An Introduction to Operating Systems,Harvey M. Deitel,1984,9780201145014,"process management, storage management, performance, modeling, case studies, Ada",
Perl by Example,Ellie Quigley,1995,9780131228399,"tutorials, reference, networking, interprocess communication",
Principles of Database Systems,Jeffrey D. Ullman,1982,9780914894360,"ISBL, QUEL, SEQUEL, security, concurrency, design theory, optimization, daabase models",
Bringing Design to Software,Terry Winograd,1996,9780201854916,"human-computer interaction, human interface guidelines",
Object-Oriented Software Construction,Bertrand Meyer,1988,9780136290490,"design by contract, dynamic binding, information hiding, polymorphism, object-oriented design",
Structured System Programming,"Jim Welsh, Michael McKeag",1980,9780138545628,"structured compiler, structured operating system",
Operating Systems: Design and Implementation,Andrew S. Tanenbaum,1987,9780136374060,"process management, memory management, input/output, file system, processes, interprocess communication, message passing",
Programming on Purpose III: Essays on Software Technology,P.J. Plauger,1994,9780133281132,"practical computer arithmetic, computer outputs, public-key cryptography",
Refactoring: Improving the Design of Existing Code,Martin Fowler,1999,9780201485677,"gang of four, organizing data, moving features, building tests, composing methods",
Data Structures and Algorithms,"Alfred V. Aho, John E. Hopcraft, Jeffrey D. Ullman",1983,9780201000238,"priority queue, sorting algorithm, augmenting path, hash table, directed graphs, undirected graphs, memory management",
The UX Book: Process and guidelines for ensuring a quality user experience,"Rex Hartson, Pardha S. Pyla",2012,9780123852410,"lightweight methods,UX lifecycle, usability, usefulness",
Agile Software Development,Alistair Cockburn,2002,9780201699692,"cooperative teams, crystam methodologies, agile manifesto",
User Stories Applied For Agile Software Development,Mike Cohn,2004,9780321205681,"requirements process, gathering stories, prioritization, cost estimation",25 in
"e-Enterprise: Business Models, Architectures, and Components",Faisal Hoque,2000,9780521774871,"one-to-one marketing, middleware, e-Commerce, customer relationship management",
IT Project Estimation: A Practical Guide to the Costing of Software,Paul Coombs,2003,9780521532853,"cost model, task estimation, staff roles, schedules, risk analysis",
Succeeding with Objects: Decision Frameworks for Project Management,"Adele Goldberg, Kenneth S. Rubin",1995,9780201628784,"reusable assets, project planning and control, software development environments, decision frameworks",
Perl by Example Second Edition,Ellie Quigley,1998,9780136556893,"tutorials, reference, networking, interprocess communication, scripts",
"IT Architectures and Middleware: Strategies for Building Large, Integrated Systems",Chris Britton,2001,9780201709070,"CORBA, COM+, distributes systems, application integration, data consistency",
